iter	Logloss
0	0.6289533086
1	0.5972521513
2	0.5760786332
3	0.5619211731
4	0.5479095583
5	0.5406069145
6	0.5321446999
7	0.5264485005
8	0.5220545714
9	0.5182181994
10	0.5149431196
11	0.5127137282
12	0.5100572278
13	0.5075323893
14	0.5062455407
15	0.5045827936
16	0.5034601779
17	0.5027736543
18	0.5014066373
19	0.5003060803
20	0.4999290809
21	0.499262911
22	0.4985974422
23	0.4977634659
24	0.4974358958
25	0.4969125369
26	0.4966876544
27	0.496307599
28	0.4960756196
29	0.4958631271
30	0.4952192984
31	0.4951148687
32	0.4944760014
33	0.4940654081
34	0.4938663626
35	0.493616028
36	0.4933881626
37	0.4932403079
38	0.4927751367
39	0.4926327487
40	0.4923797163
41	0.4923294808
42	0.4921265903
43	0.4920311275
44	0.4919513312
45	0.4916777326
46	0.4915315719
47	0.4914102932
48	0.4912963573
49	0.4911862628
50	0.4910168317
51	0.4907885994
52	0.490729382
53	0.4906716166
54	0.490581358
55	0.4904532907
56	0.4903792001
57	0.4903240884
58	0.4902280426
59	0.4901461129
60	0.4900366273
61	0.4899853564
62	0.4898946246
63	0.4898310011
64	0.4896522886
65	0.4894943416
66	0.4894615543
67	0.4894109531
68	0.489381591
69	0.489270954
70	0.4891487568
71	0.4890558036
72	0.4890015878
73	0.4889041904
74	0.4888116383
75	0.4887591655
76	0.4886871951
77	0.4885837373
78	0.4885213407
79	0.4884451978
80	0.4883543165
81	0.4883321368
82	0.4883003859
83	0.4882689297
84	0.4882135856
85	0.4881711949
86	0.4880904922
87	0.4879848752
88	0.4879226536
89	0.4878661394
90	0.4877825097
91	0.4877621874
92	0.4877147994
93	0.4876929815
94	0.4876507991
95	0.4875767186
96	0.4875226555
97	0.4874904715
98	0.4874619488
99	0.4873902528
100	0.4873273552
101	0.4872655358
102	0.4872200267
103	0.4871918948
104	0.4871455127
105	0.4870971209
106	0.4870598717
107	0.4870515059
108	0.4870162978
109	0.4869913595
110	0.4869494458
111	0.4868945616
112	0.4868134125
113	0.4868003802
114	0.4867512752
115	0.4867286522
116	0.4866971298
117	0.4866702093
118	0.4866214311
119	0.4865724947
120	0.4865037841
121	0.4864770116
122	0.4864267545
123	0.4863848875
124	0.4863531375
125	0.4863363365
126	0.4862905668
127	0.4862682228
128	0.4862192449
129	0.4861604071
130	0.4861187706
131	0.4860677699
132	0.4860249523
133	0.4859727382
134	0.4859170089
135	0.4858910423
136	0.4858665442
137	0.4858167838
138	0.4857931388
139	0.4857346265
140	0.4857056051
141	0.4856497944
142	0.4855985202
143	0.4855514432
144	0.4855313677
145	0.4854940594
146	0.4854660677
147	0.4854399345
148	0.4854231557
149	0.4853940836
150	0.4853433849
151	0.4853176522
152	0.4852808378
153	0.4852243767
154	0.4851969846
155	0.4851855872
156	0.4851387995
157	0.4851009463
158	0.48505639
159	0.4849983699
160	0.4849707478
161	0.4849283743
162	0.4848802982
163	0.4848324382
164	0.4847989369
165	0.4847571614
166	0.4847133013
167	0.4846723044
168	0.4846461712
169	0.4846278934
170	0.4846074288
171	0.4845516571
172	0.4845182047
173	0.4844953511
174	0.4844460271
175	0.4844213888
176	0.484406585
177	0.4843688227
178	0.4843428948
179	0.4843045182
180	0.484265799
181	0.4842315133
182	0.484207053
183	0.4841918163
184	0.4841616799
185	0.484133643
186	0.4841133585
187	0.4840881247
188	0.4840589692
189	0.4840382622
190	0.4840184161
191	0.4840074177
192	0.4839678685
193	0.4839301039
194	0.4838979481
195	0.4838713683
196	0.4838392824
197	0.4838021778
198	0.4837612877
199	0.4837268463
200	0.4837090265
201	0.4836849366
202	0.4836522128
203	0.4836410309
204	0.4836124716
205	0.4835922809
206	0.4835616725
207	0.4835342787
208	0.4834896734
209	0.4834550053
210	0.4834309942
211	0.4834026961
212	0.4833666227
213	0.4833456041
214	0.4833191936
215	0.4832845963
216	0.4832591725
217	0.4832376124
218	0.4832014735
219	0.4831850294
220	0.4831523613
221	0.483124697
222	0.4831005512
223	0.4830905207
224	0.4830647416
225	0.483033799
226	0.483005254
227	0.4829769174
228	0.4829430509
229	0.4829222396
230	0.482901737
231	0.4828795587
232	0.4828567968
233	0.4828485551
234	0.4828203114
235	0.4827898077
236	0.4827583506
237	0.4827440974
238	0.4827171851
239	0.482705204
240	0.4826789911
241	0.4826523623
242	0.4826315747
243	0.4826215223
244	0.4825829232
245	0.482555336
246	0.4825283675
247	0.4825034795
248	0.482479876
249	0.4824616624
250	0.4824326174
251	0.4823964387
252	0.4823789516
253	0.4823509751
254	0.4823127753
255	0.4822856935
256	0.48225538
257	0.4822246323
258	0.4822076761
259	0.4821854698
260	0.4821520375
261	0.4821322971
262	0.4821151759
263	0.4821011808
264	0.4820709533
265	0.4820422281
266	0.4820203546
267	0.4819901122
268	0.4819591256
269	0.481933288
270	0.481915769
271	0.4818884152
272	0.481861284
273	0.481846081
274	0.481836838
275	0.4818176954
276	0.4818108548
277	0.4817992813
278	0.4817744388
279	0.4817399193
280	0.4817134742
281	0.4816894229
282	0.4816673889
283	0.481655115
284	0.4816451914
285	0.4816143367
286	0.4815833193
287	0.4815655542
288	0.4815469556
289	0.4815127071
290	0.4814948167
291	0.4814691516
292	0.4814359274
293	0.4813963594
294	0.4813644371
295	0.4813390765
296	0.481318117
297	0.4812915009
298	0.4812698468
299	0.4812435151
300	0.481198191
301	0.481172353
302	0.4811590634
303	0.481127208
304	0.4811122371
305	0.4810808849
306	0.4810624732
307	0.481033574
308	0.4810182522
309	0.481007338
310	0.4809844181
311	0.4809621464
312	0.4809372388
313	0.4809098378
314	0.4808996584
315	0.4808725654
316	0.4808516283
317	0.4808252969
318	0.4807980398
319	0.4807935955
320	0.4807649142
321	0.4807356892
322	0.4807108818
323	0.4806850834
324	0.4806719556
325	0.4806473268
326	0.4806277634
327	0.4806084468
328	0.4805888989
329	0.4805811806
330	0.4805587308
331	0.480537258
332	0.4805144022
333	0.4804889897
334	0.4804646329
335	0.4804425053
336	0.4804134809
337	0.4803878093
338	0.4803610347
339	0.480343822
340	0.4803178476
341	0.4803017379
342	0.4802666392
343	0.4802413258
344	0.4802151949
345	0.4802019718
346	0.4801812123
347	0.4801643526
348	0.4801465948
349	0.4801285277
350	0.4801126511
351	0.4800878692
