iter	Passed	Remaining
0	254	254298
1	365	182215
2	500	166214
3	687	171089
4	817	162721
5	948	157135
6	1129	160285
7	1299	161175
8	1429	157363
9	1533	151865
10	1666	149842
11	1791	147490
12	1980	150370
13	2094	147487
14	2281	149837
15	2413	148410
16	2577	149015
17	2696	147122
18	2864	147899
19	3055	149705
20	3215	149890
21	3345	148727
22	3463	147118
23	3571	145256
24	3704	144468
25	3819	143068
26	3924	141424
27	4090	141985
28	4235	141825
29	4391	141987
30	4499	140636
31	4613	139570
32	4747	139130
33	4861	138131
34	4975	137168
35	5087	136230
36	5192	135148
37	5331	134982
38	5453	134391
39	5535	132856
40	5617	131386
41	5706	130154
42	5793	128935
43	5880	127772
44	5985	127034
45	6111	126751
46	6217	126062
47	6378	126509
48	6484	125860
49	6623	125849
50	6751	125628
51	6882	125472
52	6999	125060
53	7122	124772
54	7235	124320
55	7334	123641
56	7452	123300
57	7569	122941
58	7676	122438
59	7792	122089
60	7937	122178
61	8107	122658
62	8195	121893
63	8337	121937
64	8459	121689
65	8556	121090
66	8658	120570
67	8776	120294
68	8920	120365
69	9060	120377
70	9172	120021
71	9299	119865
72	9400	119373
73	9551	119519
74	9665	119208
75	9759	118654
76	9910	118803
77	10020	118443
78	10114	117921
79	10206	117375
80	10311	116988
81	10436	116839
82	10574	116824
83	10677	116430
84	10846	116763
85	10959	116472
86	11077	116249
87	11198	116057
88	11306	115736
89	11418	115449
90	11531	115192
91	11636	114843
92	11754	114637
93	11842	114144
94	11928	113637
95	12015	113144
96	12098	112626
97	12199	112285
98	12299	111940
99	12436	111932
100	12588	112051
101	12711	111909
102	12841	111831
103	12941	111497
104	13054	111274
105	13141	110832
106	13220	110332
107	13311	109940
108	13392	109471
109	13475	109026
110	13566	108651
111	13673	108411
112	13763	108038
113	13843	107591
114	13928	107189
115	14007	106749
116	14103	106438
117	14221	106297
118	14323	106040
119	14425	105787
120	14531	105561
121	14627	105270
122	14747	105152
123	14856	104953
124	14980	104861
125	15125	104918
126	15271	104974
127	15360	104641
128	15477	104505
129	15626	104579
130	15764	104575
131	15889	104484
132	16030	104496
133	16197	104678
134	16305	104474
135	16467	104619
136	16631	104765
137	16742	104577
138	16882	104571
139	17032	104625
140	17147	104468
141	17262	104305
142	17379	104153
143	17488	103957
144	17625	103930
145	17744	103794
146	17846	103560
147	17963	103412
148	18090	103323
149	18242	103375
150	18395	103427
151	18578	103646
152	18727	103673
153	18871	103671
154	19084	104041
155	19221	103991
156	19366	103987
157	19482	103825
158	19639	103879
159	19802	103965
160	19989	104171
161	20123	104093
162	20250	103984
163	20366	103817
164	20539	103940
165	20658	103790
166	20803	103766
167	20920	103607
168	21004	103280
169	21147	103250
170	21306	103290
171	21418	103109
172	21530	102924
173	21641	102733
174	21779	102674
175	21944	102738
176	22048	102518
177	22205	102542
178	22336	102450
179	22465	102342
180	22618	102345
181	22726	102144
182	22818	101871
183	22912	101611
184	23022	101421
185	23119	101177
186	23216	100936
187	23308	100671
188	23405	100433
189	23504	100202
190	23602	99969
191	23711	99786
192	23850	99725
193	23959	99544
194	24062	99336
195	24188	99222
196	24367	99323
197	24489	99195
198	24604	99035
199	24703	98812
200	24796	98570
201	24910	98407
202	25094	98522
203	25237	98473
204	25352	98317
205	25556	98503
206	25656	98286
207	25799	98236
208	25954	98229
209	26078	98105
210	26209	98006
211	26323	97844
212	26445	97710
213	26580	97629
214	26746	97656
215	26891	97606
216	27046	97592
217	27168	97456
218	27296	97344
219	27391	97114
220	27531	97046
221	27692	97049
222	27828	96964
223	27943	96804
224	28095	96773
225	28292	96896
226	28433	96825
227	28573	96750
228	28697	96618
229	28782	96357
230	28875	96125
231	28960	95867
232	29057	95651
233	29147	95414
234	29242	95193
235	29326	94937
